fotograma;tipo_objeto;confianza_deteccion;x1;y1;x2;y2;matrícula_detectada;x1_matrícula;y1_matrícula;x2_matrícula;y2_matrícula;texto_matricula_ocr;tiempo_inferencia_yolo;tiempo_inferencia_easyocr
54;car;0.9233712553977966;138;73;470;326;SÍ;201;164;403;195;ET3633P;0.000147;0.094361
55;car;0.9299315810203552;138;73;468;324;SÍ;215;163;394;193;ET3633P;0.000089;0.099111
56;car;0.923568069934845;140;74;465;323;SÍ;208;163;396;193;ET3633P;0.000086;0.019057
57;car;0.9038634300231934;142;75;462;321;SÍ;206;164;387;194;ET3633P;0.000098;0.040847
58;car;0.8923112154006958;144;75;459;319;SÍ;209;166;377;195;ET3633P;0.000087;0.018454
59;car;0.898400604724884;146;77;456;317;SÍ;197;163;393;196;ET3633P;0.000094;0.092306
60;car;0.873649537563324;147;80;453;316;SÍ;193;165;379;195;ET3633P;0.000099;0.055002
61;car;0.8934915661811829;149;81;450;313;SÍ;191;164;379;197;ET3633P;0.000164;0.097897
62;car;0.8905289173126221;152;83;446;310;SÍ;225;168;392;196;ET3633P;0.000086;0.040171
63;car;0.8676566481590271;156;83;442;308;SÍ;194;166;387;198;ET3633P;0.000093;0.020197
64;car;0.880460798740387;159;87;438;303;SÍ;236;168;379;195;ET3633P;0.000085;0.019776
65;car;0.8601664304733276;161;89;434;299;SÍ;199;165;380;196;ET3633P;0.000129;0.038131
66;car;0.826973557472229;165;90;429;295;SÍ;239;166;360;192;ET3633P;0.000096;0.090531
67;car;0.8536551594734192;169;91;424;292;SÍ;169;91;423;292;ET3633P;0.000087;0.096429
68;car;0.8788420557975769;172;98;420;289;SÍ;172;98;419;289;ET3633P;0.000098;0.093316
69;car;0.8827500939369202;175;102;416;284;SÍ;175;102;415;284;ET3633P;0.000078;0.022035
70;car;0.8771052360534668;178;103;412;281;SÍ;178;103;411;281;ETS633P;0.000099;0.023079
71;car;0.8826956152915955;181;103;407;279;SÍ;181;103;406;279;ET3633P;0.000083;0.022949
72;car;0.8605011105537415;185;105;403;276;SÍ;185;105;402;276;ET3633P;0.000100;0.099832
73;car;0.8403823375701904;188;108;399;272;SÍ;188;108;398;272;ET3633P;0.000095;0.040758
74;car;0.8776031136512756;191;107;395;268;SÍ;191;107;394;268;ET3633P;0.000114;0.020425
75;car;0.8774997591972351;193;110;391;265;SÍ;193;110;390;265;ETS63SP;0.000086;0.109730
76;car;0.8704549074172974;197;110;386;261;SÍ;197;110;385;260;ETJGSIP;0.000083;0.104320
77;car;0.8606627583503723;199;114;384;258;SÍ;199;115;383;258;ET3633P;0.000089;0.023806
78;car;0.8350279331207275;201;115;380;255;SÍ;201;116;379;255;ETJ63IP;0.000104;0.054770
79;car;0.9232996702194214;161;65;505;321;SÍ;164;65;502;321;ET3633P;0.000091;0.045639
80;car;0.9016534090042114;157;63;506;323;SÍ;291;235;378;261;ET3633P;0.000093;0.097262
81;car;0.9108766913414001;150;62;505;324;SÍ;157;62;497;324;ET3S33P;0.000085;0.033669
82;car;0.9057601690292358;144;59;503;325;SÍ;150;59;497;325;E35335;0.000083;0.040061
83;car;0.8094058036804199;136;57;499;326;SÍ;142;57;494;326;ESSEC3;0.000082;0.079093
84;car;0.9107990860939026;124;54;492;326;SÍ;130;54;488;326;EIE3;0.000088;0.121133
85;car;0.9316038489341736;111;51;484;325;SÍ;116;51;482;325;25;0.000077;0.033890
86;car;0.9233992695808411;96;49;477;327;SÍ;100;49;475;327;EEE3;0.000082;0.032811
87;car;0.914919912815094;87;46;475;330;SÍ;87;46;474;330;ETZ5Z3P;0.000089;0.106885
88;car;0.8994612693786621;78;42;481;332;SÍ;82;43;480;332;ETZE33P;0.000136;0.151394
89;car;0.8882330656051636;74;41;490;334;SÍ;76;41;488;334;ET25Z3F;0.000178;0.065111
90;car;0.9189809560775757;65;39;499;335;SÍ;66;39;471;335;EZEZ3P;0.000104;0.038124
91;car;0.91745924949646;52;37;507;336;SÍ;54;37;500;336;ETZEZ3P;0.000100;0.106527
92;car;0.8369436860084534;46;37;518;339;SÍ;47;37;517;339;ETZSZZP;0.000085;0.098315
93;car;0.8414517045021057;39;37;533;343;SÍ;40;38;521;343;ET25236;0.000102;0.121928
94;car;0.8672273755073547;43;36;546;342;SÍ;43;37;545;342;ETZG33P;0.000100;0.039825
95;car;0.8677682280540466;37;34;568;342;SÍ;37;34;567;339;ET3633P;0.000105;0.120867
96;car;0.8790358901023865;39;32;587;343;SÍ;39;33;585;342;ET3633P;0.000101;0.111693
97;car;0.8814590573310852;45;29;608;342;SÍ;45;30;606;340;ET3633P;0.000091;0.061835
98;car;0.8868176937103271;49;25;638;342;SÍ;142;241;241;273;ETZ633P;0.000143;0.042982
99;car;0.9049133062362671;66;22;638;342;SÍ;152;239;250;271;ETZ633P;0.000084;0.020156
100;car;0.8947604298591614;76;19;638;342;SÍ;158;237;256;270;ETZG33P;0.000105;0.106459
101;car;0.8648856282234192;76;14;640;341;SÍ;76;14;640;339;ET3633P;0.000093;0.068475
102;car;0.8491767644882202;82;12;640;341;SÍ;163;234;259;267;ET3633P;0.000091;0.094152
103;car;0.8847706913948059;82;13;638;344;SÍ;82;13;638;344;5756223;0.000099;0.068392
111;car;0.8719391226768494;204;1;339;46;NO;204;1;338;46;;0.000146;0.090365
112;car;0.8471075892448425;203;1;337;54;NO;203;1;336;54;;0.000097;0.008289
113;car;0.8913018703460693;202;1;338;59;NO;202;1;337;59;;0.000108;0.012222
114;car;0.9015715718269348;201;1;337;63;NO;201;1;336;63;;0.000111;0.008464
115;car;0.8118008971214294;200;1;336;69;NO;200;1;335;69;;0.000114;0.084323
116;car;0.8130624890327454;201;1;337;73;NO;201;1;336;73;;0.000129;0.008309
117;car;0.7883434295654297;201;1;337;78;NO;201;1;336;78;;0.000109;0.008705
118;car;0.7562313079833984;200;1;337;82;NO;200;1;336;82;;0.000168;0.008258
119;car;0.7624484300613403;201;1;337;87;NO;201;1;336;87;;0.000101;0.007560
120;car;0.714361310005188;201;2;336;92;NO;201;2;335;92;;0.000114;0.008294
121;car;0.8020686507225037;200;11;337;97;NO;200;11;336;97;;0.000093;0.007157
132;car;0.8107959628105164;202;52;351;145;NO;202;52;349;145;;0.000091;0.008235
133;car;0.7070123553276062;202;54;351;149;NO;202;54;350;149;;0.000134;0.007935
137;car;0.9386740326881409;377;159;607;271;NO;377;159;607;271;;0.000092;0.089223
138;car;0.9358499646186829;373;159;609;274;NO;373;159;609;274;;0.000089;0.012895
139;car;0.9347234964370728;368;159;611;274;NO;368;159;611;274;;0.000113;0.014111
140;car;0.931170642375946;364;160;615;278;NO;364;160;614;278;;0.000177;0.012772
141;car;0.9214355945587158;360;163;618;282;NO;360;163;617;282;;0.000087;0.081077
142;car;0.929900050163269;357;165;621;286;NO;357;165;620;286;;0.000093;0.014296
143;car;0.9372616410255432;354;167;625;290;NO;354;167;624;290;;0.000086;0.014097
