fotograma;tipo_objeto;confianza_deteccion;identificador_tracking;x1;y1;x2;y2;conteo_acumulado_unico_clase;es_matricula;texto_matricula_ocr
1;Coche;0.6445;1;189;198;246;226;1;NO;
2;Coche;0.6436;1;189;198;246;226;1;NO;
3;Coche;0.6415;1;202;201;262;229;1;NO;
4;Coche;0.6015;1;213;203;273;232;1;NO;
4;Coche;0.7162;2;370;280;544;460;2;NO;
5;Coche;0.6002;1;216;204;276;233;2;NO;
5;Coche;0.7187;2;370;280;545;461;2;NO;
5;Coche;0.7189;4;485;333;647;510;3;NO;
6;Coche;0.6443;2;374;281;548;462;3;NO;
7;Coche;0.6127;1;230;206;289;235;3;NO;
7;Coche;0.5393;4;503;341;656;508;3;NO;
8;Coche;0.5879;1;237;209;295;237;3;NO;
9;Coche;0.6496;1;244;210;304;239;3;NO;
10;Coche;0.652;1;247;211;306;240;3;NO;
11;Coche;0.5196;1;253;213;310;241;3;NO;
12;Coche;0.5848;1;258;214;318;244;3;NO;
13;Coche;0.5468;1;264;216;324;246;3;NO;
13;Coche;0.5993;5;4;131;139;317;4;NO;
14;Coche;0.5387;1;275;221;332;249;4;NO;
15;Coche;0.5392;1;279;222;335;250;4;NO;
16;Coche;0.536;1;281;223;336;250;4;NO;
18;Coche;0.6733;2;472;308;639;481;4;NO;
18;Coche;0.5276;1;297;226;354;255;4;NO;
19;Coche;0.683;2;476;308;642;481;4;NO;
19;Coche;0.5272;1;300;227;357;256;4;NO;
20;Coche;0.7247;2;477;312;642;482;4;NO;
20;Coche;0.5971;5;29;133;169;320;4;NO;
21;Coche;0.6925;2;485;316;647;482;4;NO;
21;Coche;0.7619;5;32;135;176;319;4;NO;
21;Coche;0.6077;1;310;229;368;259;4;NO;
22;Coche;0.7131;2;489;318;649;482;4;NO;
22;Coche;0.761;5;31;135;180;318;4;NO;
22;Coche;0.6082;1;311;230;369;260;4;NO;
23;Coche;0.6585;2;490;318;650;482;4;NO;
23;Coche;0.5019;5;32;137;185;319;4;NO;
23;Coche;0.6038;1;316;232;372;261;4;NO;
24;Coche;0.6989;2;493;319;649;481;4;NO;
24;Coche;0.7493;5;32;139;192;320;4;NO;
24;Coche;0.6639;1;321;233;377;263;4;NO;
25;Coche;0.6448;2;500;321;651;479;4;NO;
25;Coche;0.8459;5;34;142;198;321;4;NO;
25;Coche;0.6439;1;326;235;382;264;4;NO;
26;Coche;0.5664;2;499;323;646;477;4;NO;
26;Coche;0.7697;5;36;144;205;322;4;NO;
26;Coche;0.5427;1;332;238;385;265;4;NO;
27;Coche;0.5823;2;499;324;644;477;4;NO;
27;Coche;0.7633;5;34;146;209;322;4;NO;
27;Coche;0.5445;1;334;238;386;265;4;NO;
28;Coche;0.608;2;508;330;644;475;4;NO;
28;Coche;0.6432;5;37;148;216;323;4;NO;
28;Coche;0.5152;1;339;240;394;268;4;NO;
29;Coche;0.7246;5;44;151;228;324;4;NO;
29;Coche;0.551;7;453;315;546;421;5;NO;
30;Coche;0.7183;5;52;151;240;325;5;NO;
30;Coche;0.6613;2;523;353;634;471;5;NO;
30;Coche;0.5407;1;347;242;407;273;5;NO;
31;Coche;0.7793;5;60;154;251;326;5;NO;
31;Coche;0.6377;1;353;244;413;275;5;NO;
32;Coche;0.7762;5;61;155;256;327;5;NO;
32;Coche;0.6366;1;356;245;415;276;5;NO;
34;Coche;0.6448;5;84;159;281;330;5;NO;
34;Coche;0.572;1;372;250;426;279;5;NO;
35;Coche;0.6139;5;88;160;287;331;5;NO;
35;Coche;0.571;1;372;251;428;281;5;NO;
36;Coche;0.8304;5;104;168;299;332;5;NO;
37;Coche;0.8324;5;110;171;304;332;5;NO;
38;Coche;0.8657;5;117;174;311;332;5;NO;
38;Coche;0.5327;1;385;257;443;287;5;NO;
39;Coche;0.8317;5;125;177;318;333;5;NO;
40;Coche;0.8352;5;127;178;321;333;5;NO;
41;Coche;0.8988;5;132;180;327;334;5;NO;
41;Coche;0.5152;1;397;261;450;289;5;NO;
42;Coche;0.8014;5;139;184;332;336;5;NO;
42;Coche;0.5049;1;401;263;452;289;5;NO;
43;Coche;0.6859;5;151;189;341;338;5;NO;
43;Coche;0.5609;1;407;266;460;294;5;NO;
44;Coche;0.6803;5;155;191;344;338;5;NO;
44;Coche;0.5608;1;408;267;463;296;5;NO;
45;Coche;0.7531;5;156;191;346;339;5;NO;
45;Coche;0.5518;1;409;267;463;297;5;NO;
46;Coche;0.7506;5;160;192;350;340;5;NO;
47;Coche;0.7467;5;169;194;359;341;5;NO;
48;Coche;0.7394;5;172;195;361;341;5;NO;
49;Coche;0.5934;5;177;196;365;342;5;NO;
50;Coche;0.5241;5;182;199;369;343;5;NO;
52;Coche;0.9128;8;395;219;746;450;6;NO;
52;Matricula;0.7147;9;463;358;546;389;1;SÍ;ALF193E
53;Coche;0.9126;8;395;219;746;450;6;NO;
53;Matricula;0.713;9;463;358;547;389;1;SÍ;AGHLF193E
54;Coche;0.9121;8;395;219;746;450;6;NO;
54;Matricula;0.7099;9;465;360;546;390;1;SÍ;A5HLF193
55;Coche;0.9157;8;395;220;745;450;6;NO;
55;Matricula;0.7322;9;467;361;547;390;1;SÍ;IBMLF1936
56;Coche;0.9195;8;395;220;745;450;6;NO;
56;Matricula;0.7399;9;465;360;550;391;1;SÍ;AHLE193E
57;Coche;0.9199;8;395;220;745;450;6;NO;
57;Matricula;0.7388;9;465;360;550;391;1;SÍ;AGHLE193E
58;Coche;0.9154;8;396;220;746;451;6;NO;
58;Matricula;0.7226;9;468;361;552;392;1;SÍ;ALF29364
59;Coche;0.9159;8;396;220;747;452;6;NO;
59;Matricula;0.7231;9;469;361;553;392;1;SÍ;BLF29368
60;Coche;0.9163;8;397;220;746;451;6;NO;
60;Matricula;0.7257;9;472;361;553;392;1;SÍ;ILF1930
61;Coche;0.9147;8;398;219;747;450;6;NO;
61;Matricula;0.7283;9;473;361;554;392;1;SÍ;RGMLE193
62;Coche;0.9083;8;399;218;748;449;6;NO;
62;Matricula;0.7715;9;475;361;555;392;1;SÍ;ABHLF193E
63;Coche;0.915;8;400;218;749;449;6;NO;
63;Matricula;0.7679;9;476;361;558;391;1;SÍ;MLE1956
64;Coche;0.9148;8;401;217;750;449;6;NO;
64;Matricula;0.782;9;477;360;559;391;1;SÍ;AHLE192F
65;Coche;0.9178;8;403;217;750;449;6;NO;
65;Matricula;0.7813;9;479;360;561;391;1;SÍ;ABHLF1036
66;Coche;0.9168;8;405;217;751;448;6;NO;
66;Matricula;0.7843;9;482;360;562;390;1;SÍ;NNUF193
67;Coche;0.9109;8;410;218;754;448;6;NO;
67;Matricula;0.7161;9;488;360;565;389;1;SÍ;IBHLF193E
68;Coche;0.9111;8;412;218;755;447;6;NO;
68;Matricula;0.7155;9;491;360;566;388;1;SÍ;BMLF193E
69;Coche;0.9071;8;414;218;756;447;6;NO;
69;Matricula;0.6845;9;491;359;571;388;1;SÍ;IHLF193E
70;Coche;0.9055;8;416;218;758;447;6;NO;
70;Matricula;0.6993;9;492;357;576;388;1;SÍ;ALF1938
71;Coche;0.9053;8;417;218;758;447;6;NO;
71;Matricula;0.684;9;494;356;577;388;1;SÍ;IBUF193
72;Coche;0.8862;8;419;218;760;447;6;NO;
72;Matricula;0.6777;9;496;356;580;388;1;SÍ;AHLF193E
73;Coche;0.8977;8;421;218;761;447;6;NO;
73;Matricula;0.6064;9;500;356;581;387;1;SÍ;IBMLF1938
74;Coche;0.8938;8;425;219;763;446;6;NO;
74;Matricula;0.6278;9;503;355;585;387;1;SÍ;IGHLF193E
75;Coche;0.8994;8;429;220;765;446;6;NO;
75;Matricula;0.5909;9;506;355;588;387;1;SÍ;WBHLF1938
