fotograma;tipo_objeto;confianza_deteccion;x1;y1;x2;y2;matrícula_detectada;x1_matrícula;y1_matrícula;x2_matrícula;y2_matrícula;texto_matricula_ocr;tiempo_inferencia_yolo;tiempo_inferencia_easyocr
1;bus;0.9357355237007141;1402;52;1918;476;SÍ;1402;56;1918;471;LPJA5BUS214;0.047500;0.180435
1;car;0.843891978263855;1321;312;1398;371;NO;1321;312;1397;371;;0.047500;0.080078
2;bus;0.9329602718353271;1402;57;1918;470;SÍ;1402;99;1917;470;LPOSBUS211;0.000208;0.107731
2;car;0.8147820234298706;1321;312;1396;371;NO;1321;312;1395;371;;0.000208;0.011539
3;bus;0.9363880753517151;1393;65;1918;466;SÍ;1393;69;1917;465;LPJSBUS214;0.000208;0.078032
3;car;0.8186869621276855;1320;312;1395;371;NO;1320;312;1394;371;;0.000208;0.009558
4;bus;0.8994826674461365;1388;67;1918;467;SÍ;1388;73;1917;467;LPA5BUS211;0.000236;0.055405
4;car;0.838044285774231;1317;311;1395;371;NO;1317;311;1387;371;;0.000236;0.008667
5;bus;0.9296820759773254;1392;73;1918;464;SÍ;1393;81;1916;464;LPBA5211;0.000240;0.063559
5;car;0.81711345911026;1316;312;1394;371;NO;1316;312;1392;371;;0.000240;0.007883
6;bus;0.9346266388893127;1394;76;1918;461;SÍ;1395;84;1915;461;LP5BUS211;0.000171;0.052080
6;car;0.8076267838478088;1317;312;1391;370;NO;1317;312;1391;370;;0.000171;0.011963
7;bus;0.9344354271888733;1391;79;1918;461;SÍ;1392;82;1915;457;LP5BUS211;0.000201;0.068018
7;car;0.7960490584373474;1316;312;1390;370;NO;1316;312;1390;370;;0.000201;0.006903
8;bus;0.9352458119392395;1388;84;1918;458;SÍ;1388;86;1915;458;LPB211;0.000295;0.096795
8;car;0.7868657112121582;1314;312;1389;369;NO;1314;312;1388;369;;0.000295;0.010790
9;bus;0.9372075200080872;1385;88;1918;457;SÍ;1385;88;1917;457;LPSBAS211;0.000162;0.052383
9;car;0.7812942862510681;1313;312;1387;368;NO;1313;312;1386;368;;0.000162;0.009363
