fotograma;tipo_objeto;confianza_deteccion;x1;y1;x2;y2;matrícula_detectada;x1_matrícula;y1_matrícula;x2_matrícula;y2_matrícula;texto_matricula_ocr;tiempo_inferencia_yolo;tiempo_inferencia_tesseract
54;car;0.9233712553977966;138;73;470;326;SÍ;201;164;403;195;G4T3633PP;0.000105;0.136582
55;car;0.9299315810203552;138;73;468;324;SÍ;215;163;394;193;G4T3533PPP;0.000085;0.135101
56;car;0.923568069934845;140;74;465;323;SÍ;208;163;396;193;ET2633PPD;0.000086;0.138371
57;car;0.9038634300231934;142;75;462;321;SÍ;206;164;387;194;4ET3633PPP;0.000085;0.138388
58;car;0.8923112154006958;144;75;459;319;SÍ;209;166;377;195;YET3633PP;0.000086;0.132982
59;car;0.898400604724884;146;77;456;317;SÍ;197;163;393;196;S2;0.000091;0.138325
60;car;0.873649537563324;147;80;453;316;SÍ;193;165;379;195;KET3633PP;0.000084;0.138237
61;car;0.8934915661811829;149;81;450;313;NO;191;164;379;197;;0.000086;0.134971
62;car;0.8905289173126221;152;83;446;310;SÍ;225;168;392;196;TET3633PP;0.000086;0.135344
63;car;0.8676566481590271;156;83;442;308;SÍ;194;166;387;198;VG;0.000087;0.133083
64;car;0.880460798740387;159;87;438;303;SÍ;236;168;379;195;A9ET3633PP;0.000084;0.128177
65;car;0.8601664304733276;161;89;434;299;SÍ;199;165;380;196;T3633PP;0.000082;0.134908
66;car;0.826973557472229;165;90;429;295;SÍ;239;166;360;192;AVET32633PP;0.000083;0.125409
67;car;0.8536551594734192;169;91;424;292;SÍ;169;91;423;292;PZE;0.000091;0.150079
68;car;0.8788420557975769;172;98;420;289;NO;172;98;419;289;;0.000082;0.154498
69;car;0.8827500939369202;175;102;416;284;NO;175;102;415;284;;0.000083;0.148062
70;car;0.8771052360534668;178;103;412;281;NO;178;103;411;281;;0.000084;0.140485
71;car;0.8826956152915955;181;103;407;279;SÍ;181;103;406;279;E;0.000094;0.144259
72;car;0.8605011105537415;185;105;403;276;SÍ;185;105;402;276;E;0.000090;0.141700
73;car;0.8403823375701904;188;108;399;272;NO;188;108;398;272;;0.000148;0.141884
74;car;0.8776031136512756;191;107;395;268;NO;191;107;394;268;;0.000082;0.141715
75;car;0.8774997591972351;193;110;391;265;NO;193;110;390;265;;0.000097;0.141080
76;car;0.8704549074172974;197;110;386;261;NO;197;110;385;260;;0.000083;0.149255
77;car;0.8606627583503723;199;114;384;258;NO;199;115;383;258;;0.000161;0.152005
78;car;0.8350279331207275;201;115;380;255;NO;201;116;379;255;;0.000090;0.138251
79;car;0.9232996702194214;161;65;505;321;NO;164;65;502;321;;0.000096;0.164115
80;car;0.9016534090042114;157;63;506;323;SÍ;291;235;378;261;ET3633P;0.000085;0.126374
81;car;0.9108766913414001;150;62;505;324;NO;157;62;497;324;;0.000093;0.160307
82;car;0.9057601690292358;144;59;503;325;NO;150;59;497;325;;0.000083;0.166592
83;car;0.8094058036804199;136;57;499;326;SÍ;142;57;494;326;SS;0.000086;0.176731
84;car;0.9107990860939026;124;54;492;326;NO;130;54;488;326;;0.000084;0.170196
85;car;0.9316038489341736;111;51;484;325;NO;116;51;482;325;;0.000082;0.168970
86;car;0.9233992695808411;96;49;477;327;NO;100;49;475;327;;0.000083;0.171684
87;car;0.914919912815094;87;46;475;330;SÍ;87;46;474;330;SS;0.000089;0.176932
88;car;0.8994612693786621;78;42;481;332;SÍ;82;43;480;332;SS;0.000083;0.179880
89;car;0.8882330656051636;74;41;490;334;SÍ;76;41;488;334;SS;0.000084;0.181533
90;car;0.9189809560775757;65;39;499;335;SÍ;66;39;471;335;SS;0.000083;0.179151
91;car;0.91745924949646;52;37;507;336;SÍ;54;37;500;336;SS;0.000094;0.190995
92;car;0.8369436860084534;46;37;518;339;SÍ;47;37;517;339;SS;0.000081;0.193596
93;car;0.8414517045021057;39;37;533;343;NO;40;38;521;343;;0.000082;0.193288
94;car;0.8672273755073547;43;36;546;342;SÍ;43;37;545;342;S;0.000176;0.198488
95;car;0.8677682280540466;37;34;568;342;SÍ;37;34;567;339;PS;0.000085;0.202616
96;car;0.8790358901023865;39;32;587;343;SÍ;39;33;585;342;S;0.000134;0.201616
97;car;0.8814590573310852;45;29;608;342;SÍ;45;30;606;340;S;0.000083;0.203415
98;car;0.8868176937103271;49;25;638;342;SÍ;142;241;241;273;ET3633P;0.000084;0.119770
99;car;0.9049133062362671;66;22;638;342;SÍ;152;239;250;271;ET3633P;0.000080;0.123313
100;car;0.8947604298591614;76;19;638;342;SÍ;158;237;256;270;ET3633P;0.000085;0.122334
101;car;0.8648856282234192;76;14;640;341;NO;76;14;640;339;;0.000082;0.203534
102;car;0.8491767644882202;82;12;640;341;SÍ;163;234;259;267;ET3633P;0.000087;0.123034
103;car;0.8847706913948059;82;13;638;344;NO;82;13;638;344;;0.000094;0.210430
111;car;0.8719391226768494;204;1;339;46;SÍ;204;1;338;46;S;0.000091;0.123355
112;car;0.8471075892448425;203;1;337;54;SÍ;203;1;336;54;C;0.000080;0.128239
113;car;0.8913018703460693;202;1;338;59;NO;202;1;337;59;;0.000089;0.131292
114;car;0.9015715718269348;201;1;337;63;NO;201;1;336;63;;0.000082;0.131523
115;car;0.8118008971214294;200;1;336;69;SÍ;200;1;335;69;S;0.000085;0.140605
116;car;0.8130624890327454;201;1;337;73;SÍ;201;1;336;73;S;0.000109;0.141758
117;car;0.7883434295654297;201;1;337;78;NO;201;1;336;78;;0.000088;0.140364
118;car;0.7562313079833984;200;1;337;82;NO;200;1;336;82;;0.000094;0.128449
119;car;0.7624484300613403;201;1;337;87;NO;201;1;336;87;;0.000082;0.132751
120;car;0.714361310005188;201;2;336;92;NO;201;2;335;92;;0.000093;0.130178
121;car;0.8020686507225037;200;11;337;97;NO;200;11;336;97;;0.000093;0.132418
132;car;0.8107959628105164;202;52;351;145;SÍ;202;52;349;145;S;0.000128;0.132650
133;car;0.7070123553276062;202;54;351;149;NO;202;54;350;149;;0.000088;0.132172
137;car;0.9386740326881409;377;159;607;271;NO;377;159;607;271;;0.000086;0.144038
138;car;0.9358499646186829;373;159;609;274;NO;373;159;609;274;;0.000091;0.146724
139;car;0.9347234964370728;368;159;611;274;NO;368;159;611;274;;0.000080;0.146401
140;car;0.931170642375946;364;160;615;278;NO;364;160;614;278;;0.000091;0.139461
141;car;0.9214355945587158;360;163;618;282;NO;360;163;617;282;;0.000084;0.147092
142;car;0.929900050163269;357;165;621;286;NO;357;165;620;286;;0.000077;0.146253
143;car;0.9372616410255432;354;167;625;290;NO;354;167;624;290;;0.000080;0.149251
144;car;0.9406682848930359;349;170;628;296;NO;350;170;627;296;;0.000081;0.150140
145;car;0.9368428587913513;346;171;631;298;SÍ;346;171;630;298;J;0.000082;0.148459
146;car;0.9377827048301697;342;172;632;300;NO;342;172;631;300;;0.000104;0.145626
147;car;0.9326598048210144;340;174;635;302;NO;340;174;634;302;;0.000079;0.144226
148;car;0.9331769943237305;337;175;638;304;NO;337;175;637;304;;0.000082;0.148418
149;car;0.9376376271247864;334;177;639;308;NO;334;177;638;308;;0.000080;0.153907
150;car;0.9341932535171509;330;179;639;310;NO;330;179;638;310;;0.000098;0.151609
151;car;0.9308367967605591;325;182;639;313;NO;327;183;638;313;;0.000083;0.147199
152;car;0.9373301267623901;319;184;638;314;NO;320;185;636;314;;0.000080;0.150189
153;car;0.9247153401374817;312;185;634;315;NO;314;185;632;315;;0.000081;0.146217
154;car;0.8883479237556458;1;0;520;311;NO;99;192;374;310;;0.000081;0.139210
155;car;0.892208456993103;0;0;532;314;SÍ;0;0;532;314;SA;0.000084;0.194671
156;car;0.9122287034988403;0;0;547;318;NO;0;0;546;318;;0.000080;0.198135
157;car;0.850587785243988;0;0;560;321;SÍ;0;1;559;321;SS;0.000081;0.204841
158;car;0.8310207724571228;0;0;576;322;SÍ;0;0;575;322;A;0.000082;0.214996
159;car;0.8322213292121887;0;0;590;324;SÍ;0;0;589;324;A;0.000082;0.206777
160;car;0.897117555141449;0;0;593;328;SÍ;540;217;583;245;TEP;0.000134;0.119338
161;car;0.9098051190376282;0;0;594;330;NO;0;0;593;330;;0.000084;0.212966
162;car;0.9095386862754822;0;0;591;331;SÍ;0;0;590;331;A;0.000085;0.215202
163;car;0.9165354371070862;118;1;638;283;SÍ;118;1;638;283;H;0.000085;0.181945
164;car;0.9181221127510071;124;1;638;283;SÍ;124;1;638;283;H;0.000079;0.179121
165;car;0.9096921682357788;135;1;639;284;SÍ;135;1;638;284;H;0.000177;0.192243
166;car;0.9100564122200012;155;1;638;284;NO;155;1;638;284;;0.000089;0.197265
167;car;0.9017208218574524;178;1;638;285;SÍ;178;1;635;285;2;0.000084;0.183761
168;car;0.9006354808807373;199;1;639;286;SÍ;199;1;638;285;H;0.000085;0.177071
169;car;0.915877103805542;213;1;639;290;NO;213;1;638;290;;0.000082;0.175886
170;car;0.9229140877723694;225;1;639;290;SÍ;225;1;638;290;Q;0.000092;0.175275
176;car;0.9052446484565735;52;116;630;329;SÍ;52;116;629;329;5;0.000077;0.176522
177;car;0.9145389795303345;49;116;626;329;SÍ;49;116;626;329;23;0.000080;0.194331
178;car;0.9145575165748596;48;115;626;329;NO;48;115;625;329;;0.000085;0.177468
179;car;0.9116212129592896;47;116;628;330;NO;47;116;628;330;;0.000086;0.201453
180;car;0.9231743216514587;46;114;627;330;SÍ;46;114;627;330;23;0.000141;0.185880
181;car;0.9073314070701599;46;114;627;330;SÍ;46;114;627;330;A23;0.000087;0.188903
182;car;0.9142369627952576;48;113;629;330;SÍ;48;113;629;330;A;0.000084;0.183507
183;car;0.9141827821731567;51;112;631;330;SÍ;51;112;631;330;5;0.000083;0.182149
184;car;0.9059487581253052;52;113;633;331;SÍ;52;113;632;331;3;0.000090;0.184163
185;car;0.8934940099716187;55;115;630;331;NO;55;115;630;331;;0.000090;0.205353
186;car;0.9002460837364197;56;117;630;336;SÍ;56;117;630;336;23;0.000085;0.183762
187;car;0.9064624905586243;58;119;629;338;SÍ;58;119;628;338;A5;0.000079;0.186532
188;car;0.9180519580841064;61;121;630;339;NO;61;121;629;339;;0.000084;0.184549
189;car;0.9209266901016235;62;123;625;341;SÍ;62;123;625;341;403;0.000086;0.189889
190;car;0.9191040992736816;65;124;609;342;SÍ;65;124;609;342;G2;0.000084;0.177240
191;car;0.9190974831581116;67;128;602;343;SÍ;67;129;602;343;AN;0.000083;0.181205
192;car;0.9146283268928528;68;132;596;344;SÍ;68;132;596;344;A;0.000083;0.179699
193;car;0.9135431051254272;71;134;594;344;SÍ;71;134;594;344;A;0.000083;0.179368
194;car;0.9091626405715942;76;134;592;344;SÍ;76;134;591;344;A;0.000085;0.176502
195;car;0.9031426906585693;78;136;586;344;SÍ;78;136;586;344;A;0.000082;0.175961
196;car;0.9066833257675171;79;137;579;345;NO;79;137;578;345;;0.000092;0.175070
197;car;0.90086430311203;86;139;570;345;NO;86;139;569;345;;0.000098;0.182011
198;car;0.9148106575012207;94;141;563;343;NO;94;141;562;343;;0.000089;0.178707
199;car;0.9302836060523987;98;142;556;341;NO;98;142;555;341;;0.000088;0.171319
200;car;0.9168203473091125;102;145;546;339;NO;102;146;545;339;;0.000084;0.166594
201;car;0.9194830060005188;103;147;534;338;NO;103;147;533;338;;0.000086;0.165230
202;car;0.9250547289848328;103;149;521;335;NO;103;149;520;335;;0.000088;0.168293
203;car;0.907398521900177;302;127;501;276;NO;304;127;500;276;;0.000087;0.141768
204;car;0.8913750052452087;302;128;502;279;NO;304;128;502;279;;0.000084;0.138162
205;car;0.9069492220878601;301;126;502;279;NO;303;126;501;279;;0.000084;0.141405
206;car;0.8983342051506042;301;125;504;280;NO;303;125;503;280;;0.000087;0.139606
207;car;0.8913142681121826;300;125;504;281;SÍ;302;125;503;281;SS;0.000094;0.143202
208;car;0.9042971730232239;299;125;504;282;NO;300;125;503;282;;0.000086;0.139186
209;car;0.8904030323028564;296;124;504;285;NO;297;125;503;285;;0.000085;0.141279
210;car;0.9129000306129456;294;124;504;286;NO;296;125;503;286;;0.000126;0.143576
211;car;0.9123865365982056;291;124;502;287;NO;293;124;501;287;;0.000091;0.138283
212;car;0.8894609808921814;285;125;499;289;NO;287;125;498;289;;0.000147;0.145652
213;car;0.898949921131134;278;126;494;290;NO;280;126;493;290;;0.000095;0.142430
214;car;0.9164802432060242;270;128;488;291;NO;272;128;487;291;;0.000083;0.141629
215;car;0.9412842988967896;263;129;482;293;SÍ;264;129;481;293;3;0.000083;0.142868
216;car;0.9388037919998169;259;130;479;293;NO;260;130;478;293;;0.000116;0.150312
217;car;0.9356611371040344;256;130;479;293;SÍ;257;130;478;293;SS;0.000120;0.148016
218;car;0.9327500462532043;257;132;481;294;SÍ;259;132;480;294;3;0.000080;0.142249
219;car;0.9404939413070679;259;129;485;294;SÍ;260;129;484;294;SS;0.000091;0.143258
220;car;0.9075208306312561;264;129;494;295;SÍ;266;129;493;295;3;0.000086;0.163177
221;car;0.9117237329483032;268;128;500;295;SÍ;269;128;499;295;S;0.000085;0.149915
222;car;0.8780897855758667;272;125;505;295;NO;274;125;504;295;;0.000261;0.146225
223;car;0.9058786034584045;275;123;510;296;SÍ;275;123;509;296;3;0.000081;0.166774
224;car;0.9166964888572693;275;121;512;296;SÍ;275;121;511;296;S;0.000084;0.143651
225;car;0.9242144227027893;275;119;516;296;SÍ;275;119;515;296;SS;0.000088;0.150720
226;car;0.9206197261810303;274;117;515;297;NO;274;117;514;297;;0.000080;0.152994
227;car;0.9280581474304199;271;115;516;295;SÍ;271;115;515;295;SS;0.000217;0.146035
228;car;0.9158573150634766;270;112;517;293;SÍ;270;112;516;293;S;0.000083;0.145682
229;car;0.9120379686355591;272;111;521;293;NO;272;111;520;293;;0.000085;0.144671
230;car;0.9120349884033203;406;73;639;198;NO;406;73;638;198;;0.000082;0.151703
231;car;0.9233810305595398;377;72;639;203;NO;377;72;638;200;;0.000102;0.147166
232;car;0.9075782895088196;349;71;639;201;NO;349;71;638;200;;0.000092;0.144036
233;car;0.9181765913963318;324;71;625;200;NO;324;71;625;200;;0.000087;0.142781
234;car;0.9208916425704956;302;75;593;198;NO;302;75;593;198;;0.000094;0.160725
235;car;0.9221163988113403;283;80;562;196;NO;283;80;561;196;;0.000086;0.152621
236;car;0.9065378308296204;264;73;531;193;NO;264;73;530;192;;0.000093;0.150274
237;car;0.909461259841919;248;72;503;190;NO;248;72;502;190;;0.000155;0.163592
238;car;0.913834810256958;233;73;475;189;SÍ;233;73;475;189;PS;0.000083;0.147395
239;car;0.9014807939529419;221;74;451;186;NO;221;75;450;186;;0.000096;0.146863
240;car;0.9071969389915466;209;76;426;183;NO;209;76;426;183;;0.000082;0.146881
241;car;0.900603175163269;200;77;404;180;SÍ;200;77;403;180;PZ;0.000084;0.149222
242;car;0.9129915237426758;194;79;386;179;SÍ;194;79;386;179;S;0.000084;0.146843
243;car;0.8687325119972229;192;80;367;176;SÍ;192;80;366;176;2D;0.000147;0.148899
244;car;0.8879694938659668;190;81;349;175;NO;190;81;348;175;;0.000088;0.142309
245;car;0.7830146551132202;190;81;334;172;NO;190;81;334;172;;0.000081;0.138105
246;car;0.8317408561706543;188;82;320;170;SÍ;188;82;319;168;J;0.000085;0.134864
247;car;0.8558827638626099;190;85;307;168;NO;190;85;306;167;;0.000083;0.146248
