epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.48945,0,82.3757,0,0,0,0,0,0,68.9375,0,1.667e-05,1.667e-05,1.667e-05
2,7.21291,0,82.2684,0,0,0,0,0,0,69.0625,0,4.95149e-05,4.95149e-05,4.95149e-05
3,9.15908,0,82.3409,0,0,0,0,0,0,69.1875,0,8.16997e-05,8.16997e-05,8.16997e-05
4,10.6094,0,81.8863,0,0,0,0,0,0,69.25,0,0.000113224,0.000113224,0.000113224
5,11.6215,0,81.1324,0,0,0,0,0,0,69.3125,0,0.000144089,0.000144089,0.000144089
6,12.4971,0,80.6147,0,0,0,0,0,0,69.375,0,0.000174293,0.000174293,0.000174293
7,13.4199,0,79.9229,0,0,0,0,0,0,69.375,0,0.000203837,0.000203837,0.000203837
8,14.2858,0,79.0954,0,0,0,0,0,0,69.0625,0,0.000232722,0.000232722,0.000232722
9,15.1014,0,77.7962,0,0,0,0,0,0,69,0,0.000260946,0.000260946,0.000260946
10,15.9987,0,76.9028,0,0,0,0,0,0,68.625,0,0.000288509,0.000288509,0.000288509
11,16.804,0,76.0241,0,0,0,0,0,0,68.1875,0,0.000315413,0.000315413,0.000315413
12,17.6848,0,74.8976,0,0,0,0,0,0,67.75,0,0.000341657,0.000341657,0.000341657
13,18.4953,0,74.0486,0,0,0,0,0,0,67.4375,0,0.00036724,0.00036724,0.00036724
14,19.3524,0,72.8433,0,0,0,0,0,0,67.25,0,0.000392163,0.000392163,0.000392163
15,20.168,0,71.7254,0,0,0,0,0,0,66.875,0,0.000416427,0.000416427,0.000416427
16,20.9956,0,70.7942,0,0,0,0,0,0,66.25,0,0.00044003,0.00044003,0.00044003
17,21.8157,0,69.8359,0,0,0,0,0,0,65.75,0,0.000462973,0.000462973,0.000462973
18,22.6272,0,68.5555,0,0,0,0,0,0,64.75,0,0.000485255,0.000485255,0.000485255
19,23.4815,0,67.2259,0,0,0,0,0,0,62.1875,0,0.000506878,0.000506878,0.000506878
20,24.2689,0,66.3231,0,0,0,0,0,0,60.25,0,0.000527841,0.000527841,0.000527841
21,25.0511,0,65.5946,0,0,0,0,0,0,58.6875,0,0.000548143,0.000548143,0.000548143
22,25.895,0,63.8723,0,0,0,0,0,0,57.75,0,0.000567785,0.000567785,0.000567785
23,26.7304,0,63.0584,0,0,0,0,0,0,56.9375,0,0.000586767,0.000586767,0.000586767
24,27.5086,0,62.2782,0,0,0,0,0,0,56.0938,0,0.000605089,0.000605089,0.000605089
25,28.2773,0,60.7611,0,0,0,0,0,0,55.125,0,0.000622751,0.000622751,0.000622751
26,29.0518,0,60.0857,0,0,0,0,0,0,53.875,0,0.000639753,0.000639753,0.000639753
27,29.9358,0,59.1736,0,0,0,0,0,0,64.5,0,0.000656095,0.000656095,0.000656095
28,30.6894,0,58.7228,0,0,0,0,0,0,64.5,0,0.000671776,0.000671776,0.000671776
29,31.4772,0,58.6585,0,0,0,0,0,0,155.125,0,0.000686797,0.000686797,0.000686797
