epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.57,0.85894,1.35251,1.23092,0.89913,0.9057,0.95839,0.62277,1.18725,1.20736,1.60471,0.00055377,0.00055377,0.00055377
2,123.224,0.85839,0.79457,1.2297,0.83626,0.85952,0.88907,0.54367,1.21261,1.00983,1.55936,0.00103621,0.00103621,0.00103621
3,175.544,0.87193,0.6917,1.2358,0.95179,0.96394,0.97688,0.67661,1.01639,0.74124,1.35521,0.00144531,0.00144531,0.00144531
4,229.871,0.82196,0.60864,1.20317,0.94962,0.95551,0.98008,0.68303,1.08082,0.7186,1.45201,0.00133693,0.00133693,0.00133693
5,285.899,0.79855,0.57715,1.19619,0.96708,0.97368,0.98897,0.72594,0.92642,0.64151,1.25272,0.00122691,0.00122691,0.00122691
6,369.378,0.85111,0.50829,1.26196,0.97669,0.96272,0.98797,0.71665,1.01167,0.67995,1.40089,0.00111689,0.00111689,0.00111689
7,426.231,0.80858,0.46327,1.22303,0.97943,0.96296,0.98803,0.74822,0.86625,0.60594,1.20506,0.00100687,0.00100687,0.00100687
8,482.608,0.77554,0.43424,1.1997,0.97681,0.98051,0.99042,0.74743,0.90062,0.62258,1.22609,0.000896846,0.000896846,0.000896846
9,540.594,0.75583,0.41638,1.17922,0.98147,0.98004,0.98951,0.76036,0.83128,0.58982,1.15348,0.000786824,0.000786824,0.000786824
10,599.527,0.73091,0.39629,1.15752,0.97451,0.97173,0.98929,0.7815,0.81442,0.59183,1.13482,0.000676802,0.000676802,0.000676802
11,659.481,0.70987,0.3758,1.13815,0.98523,0.97525,0.99004,0.77483,0.80793,0.52143,1.13669,0.00056678,0.00056678,0.00056678
12,719.239,0.68224,0.35464,1.11948,0.98541,0.98133,0.98842,0.78732,0.78561,0.57553,1.10031,0.000456758,0.000456758,0.000456758
13,777.989,0.66739,0.33651,1.10542,0.97688,0.98343,0.98756,0.789,0.78686,0.51815,1.11272,0.000346736,0.000346736,0.000346736
14,836.428,0.648,0.32191,1.09225,0.98817,0.98511,0.99017,0.79481,0.77008,0.4746,1.09959,0.000236714,0.000236714,0.000236714
15,895.273,0.62324,0.3068,1.07517,0.98867,0.98631,0.99055,0.79915,0.77219,0.50763,1.08569,0.000126692,0.000126692,0.000126692
